Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
9.0000000000,288,4160.7690429688,4185.6411132812,4170.8974609375,4196.2822265625,4165.7690429688,4163.3334960938,4162.0512695312,4161.5385742188,4164.7436523438,4164.8715820312,3913.9743652344,4176.2822265625,4146.1538085938,3478.4614257812,,,
9.0078125000,288,4170.2563476562,4192.9487304688,4181.0258789062,4197.4360351562,4165.6411132812,4162.8203125000,4164.7436523438,4162.1796875000,4163.7177734375,4163.4614257812,3925.2563476562,4190.6411132812,4157.1796875000,3497.3076171875,,,
9.0156250000,288,4181.0258789062,4201.0258789062,4191.7949218750,4203.0771484375,4164.7436523438,4162.0512695312,4161.7949218750,4163.0771484375,4162.1796875000,4162.6923828125,3933.7180175781,4201.4101562500,4171.6665039062,3514.1025390625,,,
9.0234375000,288,4186.0258789062,4207.0512695312,4190.6411132812,4215.0000000000,4166.9228515625,4162.0512695312,4158.7177734375,4164.3588867188,4164.4873046875,4164.2309570312,3935.1281738281,4202.3076171875,4173.5898437500,3524.2307128906,,,
9.0312500000,289,4189.8715820312,4212.8203125000,4190.3847656250,4218.5898437500,4167.4360351562,4161.6665039062,4159.4873046875,4164.1025390625,4165.3847656250,4164.8715820312,3938.3332519531,4202.1796875000,4174.3588867188,3532.9487304688,,,
9.0390625000,289,4187.3076171875,4211.0258789062,4194.4873046875,4212.3076171875,4166.4101562500,4165.5126953125,4165.8974609375,4164.7436523438,4164.3588867188,4165.2563476562,3941.0256347656,4204.2309570312,4175.8974609375,3534.1025390625,,,
9.0468750000,289,4177.0512695312,4201.9228515625,4188.3334960938,4207.5639648438,4161.2822265625,4164.7436523438,4164.1025390625,4165.3847656250,4164.3588867188,4164.7436523438,3935.7692871094,4199.6152343750,4171.6665039062,3530.0000000000,,,
9.0546875000,289,4173.4614257812,4198.9741210938,4185.0000000000,4203.7177734375,4161.5385742188,4159.4873046875,4159.4873046875,4164.6152343750,4164.4873046875,4162.0512695312,3932.0512695312,4190.1284179688,4168.3334960938,3531.5385742188,,,
9.0625000000,290,4171.1538085938,4202.8203125000,4186.4101562500,4198.0771484375,4166.2822265625,4162.5639648438,4162.1796875000,4164.8715820312,4163.9741210938,4166.6665039062,3934.8718261719,4186.0258789062,4164.3588867188,3533.9743652344,,,
9.0703125000,290,4161.6665039062,4196.5385742188,4177.8203125000,4197.1796875000,4163.4614257812,4167.9487304688,4162.9487304688,4164.8715820312,4164.3588867188,4170.7690429688,3929.8718261719,4184.6152343750,4156.1538085938,3529.4870605469,,,
